Text,Sentiment
"kicker watchlist xide tit soq pnk cpw bpz aj trade method 1 method 2, see prev post",1
user: aap movie. 55% return fea/geed indicator 15 trade year. awesome.,1
user id afraid short amzn - looking like near-monopoly ebooks infrastructure-as-a-service,1
mnta 12.00,1
oi 21.37,1
pgnx 3.04,1
aap - user current downtrend break. otherwise short-term correction med-term downtrend.,-1
monday relative weakness. nyx win tie tap ice int bmc aon c chk biib,-1
goog - ower trend line channel test & volume support.,1
aap watch tomorrow ong entry.,1
im assuming fcx open tomorrow 34.25 trigger buy. still much like setup.,1
"really worry everyone expects market rally now,usually exact opposite happens every time shall see soon bac spx jpm",1
aap gamcos arry haverty : apple extremely cheap great video !!!,1
user maykiljil posted that. agree msft going higher & possibly north 30,1
momentum coming back etfc broke ma200 resistance solid volume friday. ong set-up,1
ha hitting 35.65 mean resume targeting 42 level ..,1
user gameplan shot today liked trend break may c+h break. oc weekly trend break back july 2011,1
fcx gapping well ideal entry looking pull least 35 open entry,1
"user great list again, particularly like fisv syk. buy & hold type check free list out.",1
athx upper trend line,1
ng - nice pnf - breakout - need follow thru,1
believe aap uptrend back cross ma(50),-1
x swing still,1
swy - 30% float short breaking - ouch,1
biof want 4.90s comin!!!,1
v inverted head shoulder play well. able catch entry. eye,1
"red, ready break out.",-1
ei close breaking now. trigger 30.40.,1
user bac quick trade late..but investing ~11.98 good entry point imho,1
"chdn - ong 49.02. trailing stop 56.66 6 prior stop 54.17, 49.88, 49.82, 45.47, 43.02 & 41.92 -",1
aap vome today impressive. rate well probably get 30m share traded today.,1
"user: adding vxy long bottom today trade, also got wpi near low",-1
"repeat, global economy going get better year go c instead bac",1
goog go ong close 725.,1
nkd looking like good short. failed break price level resistance 116 today.,-1
g like price action. far holding 130. still deciding whether go ong call stocks.,1
sbx buy clear resistance 54.5,1
new target aap notice shakeout reading -8.49 ! buy dot monday,1
early short move. stock market need day settle down. #patience coh bwd dt aap pay,-1
aap obbers hit apple store paris. prefer take merchendise cash. bullish.,1
axa tip day. buy now! even sign newsletter anything im wrong eat crow :),1
x 1/2 due move today kirby daily around 26.00 - still swinging 1/2,1
"aap 10 min short longs fully added in, look pop market,shakeout reset",1
ng stellar move - still long swing - full position - believe user & user 2,1
atice & tade setp: ko cnx,1
idcc 50sma acting good support. short-term momentum indicator switched upside.,1
"new post: bac 19 month highs, showing sign stress",1
c two daily bull flag top other=bullish still,1
ng - traditional point figure - bullish signal multiyear high,1
jpm closed>10sma monday(u know rules)...large cup n handle....still bullish,1
eog ascending triangle - original target 127 extension eps feb 11th? 1/2 position swing,1
"aapl daily , broke downtrend(from closing prices) w v pattern back play.......600 target",1
phm pultegroup option bear bet 1.5 million 11% move april,-1
bac 11.97 trade,1
short setup displaying relative weakness: ao coh pay bwd dt shd wtw p prepare short stall. es_f,-1
"amzn monetize electronics make traffic marketplace, aap goog wake say buy ebay",1
"cvi starting clean book, making first buy yr - entry 49.54 stop 47.43",1
sam cheer temporary solution economic woe - entry 139.81 stop 131.92,1
sk gave!,-1
ovti ttm ending oct 2012 negative 151 million operational cash flow.. 273% decline v yoy ttm ending oct 2011,-1
aap goog respond positively good jobless claim number,1
analyst price target earnings target coming down---exacty want see prior aap reporting.,1
user nice! color intc bull well!,1
"head p: aa earnings (1/8/13) es week away, tho season eay begin cranking til 1/16 w/ g jpm ebay et al...",1
"trade idea buy wo market 26.64, target 36, cut 23.50",1
"trade idea buy dc market 58.50, target 67 , cut 53",1
goog look set make new ath. e unknown.,1
goog trade one long verse 10sma,1
"fnf - ong 19.43. trailing stop 21.04 6 prior stop 19.71, 19.52, 18.70, 18.65, 18.07 17.87 -",1
"fod see solid move tom, system predict nice green candle.",1
year fitness health apps...the winner gynormous speculation run high nke,1
time invest msft compq,1
"new post: short make dimes, ongs make dollar aap spx qqq p",1
nbelieveable payment trend vcs chasing easily played public markets.... ebay v mastercard time high,1
watch list stock triggered today oex agnx tv vbd xide ppc exp onty bmn f wk chmt fbc isi aig,1
nice bull flag breakout oc #technology #software,1
setup alert went bonkers today..one many got triggered.cup+handle breakout pfe,1
host most....congrats cloud today ax user all-time highs. wow,1
x .s. steel breakout? mt,1
dndn broken clear 5.5 resistanc level heavy volume & could headed much higher,1
expe look good higher price,1
apc weekly setting long.,1
going morning long 3 aap 560 call option & goog 725 call jan 4th expiration,1
es_f path higher unthreatened unless 1452.25 support fails. see resistance 1466.00 spx #stocks.,1
monitor line/price dynamic. stock closed dec.28 line new high be4 price. mho tsm ipgp eqix bc bdc ash,1
ddd idcc continue higher,1
"hoped pick ost today, look like im day late. nice move morning.",1
gps wow wa fast fast fade...,-1
amzn going 260. go near 300 market behaves weeks.,1
huston geen aap,1
p long 9.55,1
hn breakout...but 3rd day look pullback enter long.,1
ng - ascend triangle much like f & x breakout 127 exten 161.8 target - fib subjective,1
kcg ... thing make go hmmmm?,1
vng - huge news patent attorney dan avicher,1
ng nhod - check weekly - target previous low 2006 :),1
ng nhod - see? check weekly - target previous low 2006 :),1
aig american international group option trader bet 4% move next friday,-1
p balance +.32,1
vng buy vs. sells?,1
bac 12.00 since consolidation level. could close = > 12.09 market stable pm imho.,1
vng parabolic move comin,1
new sony pre-owned block tech patent unearthed sne ... 50% gme profit pre owned ..last one turn light,-1
"liked vs, love wynn 111 entry new target yesterday 121. nice !",1
user: spx 1464.90 wave iv would 20 point lower [1467.00 key] es_f hod 1460.00 (under neckline 1458.50 bearish),-1
"ddd consolidating strong move previous day 55 60, next buy point 60 volume (holding).",1
vng - 12 mil share short plus long buying = massive vng short squeeze. thought story dead avicher kill short thesis,1
"wow, good bk user ... sale nook 13% holiday",-1
ac watch list - volume pick 139% full day average -from 200-day bounce,1
"new wightwatchers ad fun light regular people interesting, still dont trust wtw (no position)",-1
amzn holding well - next buy point clear upper trend line heavy volume,1
exactly want see follow thru day breaking new high volume,1
zcs user there buying,1
aap spy qe 2013. bring geithner.,-1
extended stock market + unexpected news fed minute = esd & panicky es_f nq_f.,-1
"spy ncle ben needed spice thing little. aap people bored, wake now.",-1
aap might close low day. bear control descending trendline. watch it.,-1
fan - seeking 200d. im adding synthetic short add 200d.,-1
"cwst low day 4.50, near high day 4.56, watchn b/out, minimal risk",1
above: gme gamestop short target spy,-1
time get #cloud stock vmw cm,-1
bac keep overniight mmy pos. bin premarket tmorrow too.,1
polk expects 2013 .s. new vehicle egistrations 15.3 million - polk - f gm think low,1
bullish market also talked trend scty ost angi fio panw jcp p yep mnst gpn show.,1
bac happens next?,-1
kcg someone bought 3.22k 4 jan 18 calls....,1
man didnt know skippy made this...would thrown jar h #hormel,1
"big move bond today, 7 month high 10 rate, still going lower zn_f, could get truly ugly good nfp number spy tt",1
market wrap video + addition watch ist including: bcei bji cee e son sqnm nx yep,1
maybe vrng asked judge 7% royalty became risky goog deal with? want settle,1
bji 35.53 good volume,1
cee 35.12,1
sqnm 5.05,1
nx flag break,1
3d system brings next-gen consumer 3d printing ce 2013 ddd,1
aap top april aston kutcher star jobs. kinda like facebook social network came out. fb,-1
"vng w/ macd turning & signal line, vng could post nice rally current level",1
pi 3q 10q operational cash flow 9mos -20million. 269%decline vs. 9mos year ago.,-1
bbby 3q 10q operational cash flow 135 million. 53 increase vs. year ago q3. 64% improvement q q,1
di 6mos operational cash flow 267 million. increase 187 million vs.6mos year ago. 233% increase,1
3q 10q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago.,1
3q operational cash flow neg 16 million. vs. year ago 3q negative 68million. 52 million improvement,1
"quiet carl icahn = bullish. nfx short paranoid every close get acquired. think aapl, msft, amzn, fb",1
aapl bull cannot break trend line obv,-1
user phantom7 ive calling +4 ever since start thing. 3.75 given~ kcg,1
nx watch list small flag volume 26% ave full day good volume,1
goog poised clear next resistance (buy / add area) watch action / volume closely,1
gdp watch list slightly line 50-day ema light volume 5% ave full day,1
"took profit ddd, add break 60 volume.",1
chk - im looking - small risk position call only. scalp - maybe swing xe watch.,1
"onty holder would hold raise ask here, could really pop. going climb slowly regardless...",1
eog pxd oas #energyswag,1
aap moving volume. couldnt cope descending trend line. trend still down. perhaps 460 impossible all.,-1
aap 50ema continue work aap making lower high maco sense,-1
"went short spy yesterday, picked aap instead. still think market need move bit resume move upside.",-1
aap people realistic. market undecided apple. earnings lift cloud. good might eay see reversal.,-1
watch close carefully decide whether ong shot aap. 530 shot!!!,-1
"jcp keep eye triangle. big short int, 34%. report feb 27. cup & handle. dt. ong",1
sold little goog ...first time,1
nice cup handle breakout mca,1
faf new highs.,1
spy giving aap finger. care anymore lol,-1
smith&corona ok. amzn,1
"va - ong 43.07. trailing stop 58.98 11 stop 54.53, 52.45, 48.05, 47.32, 46.71, ... 41.32 & 39.57 -",1
amzn alert update: last minute push tried shake puts. were hanging now.,-1
aap volume higher today monday. keep mind.,1
"hb.a - ong 73.67. trailing stop 71.92 3 prior stop 70.86, 68.64 62.41 -",1
"key panic here. aap domain twitchy day trader robot now, long term hold fundamental",1
nvda 4 hour - love see vol explode.,1
vng - take hard look goog ftc settlement patents. ftc making goog play nice vng? make sense,1
worried gone oco 737.71 call goog ! door step nearly 40 move,1
vng crazy anyone listens trade tool.,1
goog getting fueled aaps reversal.,1
user make bby offer shave 4 offer price? bid went 24-26 20 matter months.,-1
